;1  The first column is the upper electronic state 
;2  (2=Lyman (B-X), 3= Werner (C-X))
;3  nup is the upper vibrational level 
;4  npp is the lower vibrational level 
;5  Jup is the upper rotational level 
;6  Jpp is the lower rotational level 
;7  
;8
;9   nup  npp Jup Jpp      wave         f           gu     gamma         label  rank 
257 2   15   0   2   1   939.120   0.00661107   9   8.66870e+08    L15-0R(1)   1
258 2   15   0   0   1   939.710   0.00291253   9   8.65520e+08    L15-0P(1)   2
259 2   15   0   3   2   940.620   0.00594246   5   8.65220e+08    L15-0R(2)   3
260 2   15   0   1   2   941.600   0.00334960   5   8.64310e+08    L15-0P(2)   4
261 2   15   0   4   3   942.960   0.00565594   21   8.64620e+08   L15-0R(3)   5
262 2   15   0   2   3   944.330   0.00353330   21   8.66870e+08   L15-0P(3)   6
263 2   15   0   5   4   946.120   0.00541273   9   8.68160e+08    L15-0R(4)   7
264 2   15   0   3   4   947.880   0.00366682   9   8.65220e+08    L15-0P(4)   8
265 2   15   0   6   5   950.070   0.00431803   33   8.75300e+08   L15-0R(5)   9
266 2   15   0   4   5   952.250   0.00389296   33   8.64620e+08   L15-0P(5)   10
267 2   15   0   7   6   954.700   0.00115097   13   9.80490e+08   L15-0R(6)   11
268 2   15   0   5   6   957.410   0.00430236   13   8.68160e+08   L15-0P(6)   12
269 2   15   0   8   7   960.700   0.0136431   45   9.23510e+08    L15-0R(7)   13
270 2   15   0   6   7   963.320   0.00554639   45   8.75300e+08   L15-0P(7)   14
271 2   15   0   9   8   966.902   0.010       17   9.0e+08        L15-0R(8)   15
272 2   15   0   7   8   969.864   0.011       17   9.0e+08        L15-0P(8)   16
273 2   16   0   1   0   931.060   0.0105269   1   8.34520e+08     L16-0R(0)   0
274 2   16   0   2   1   931.730   0.00759201   9   8.40300e+08    L16-0R(1)   1
275 2   16   0   0   1   932.260   0.00238877   9   8.31990e+08    L16-0P(1)   2
276 2   16   0   3   2   933.240   0.00694637   5   8.39560e+08    L16-0R(2)   3
277 2   16   0   1   2   934.140   0.00227632   5   8.34520e+08    L16-0P(2)   4
278 2   16   0   4   3   935.570   0.00657993   21   8.19050e+08   L16-0R(3)   5
279 2   16   0   2   3   936.850   0.00206773   21   8.40300e+08   L16-0P(3)   6
280 2   16   0   5   4   938.730   0.00645879   9   8.15640e+08    L16-0R(4)   7
281 2   16   0   3   4   940.380   0.00195919   9   8.39560e+08    L16-0P(4)   8
282 2   16   0   6   5   942.680   0.00629794   33   7.94520e+08   L16-0R(5)   9
283 2   16   0   4   5   944.720   0.00208003   33   8.19050e+08   L16-0P(5)   10
284 2   16   0   7   6   947.430   0.00605573   13   7.90850e+08   L16-0R(6)   11
285 2   16   0   5   6   949.840   0.00217452   13   8.15640e+08   L16-0P(6)   12
286 2   16   0   8   7   952.940   0.00586316   45   7.88510e+08   L16-0R(7)   13
287 2   16   0   6   7   955.720   0.00225490   45   7.94520e+08   L16-0P(7)   14
288 2   16   0   9   8   959.189   0.0052       17   8.0e+08       L16-0R(8)   15
289 2   16   0   7   8   962.356   0.0026       17   8.0e+08       L16-0P(8)   16
290 2   17   0   1   0   923.980   0.00614364   1   7.97750e+08    L17-0R(0)   0
291 2   17   0   2   1   924.640   0.00405889   9   7.96930e+08    L17-0R(1)   1
292 2   17   0   0   1   925.170   0.00196761   9   7.97540e+08    L17-0P(1)   2
293 2   17   0   3   2   926.130   0.00378051   5   8.01050e+08    L17-0R(2)   3
294 2   17   0   1   2   927.020   0.00231905   5   7.97750e+08    L17-0P(2)   4
295 2   17   0   4   3   928.440   0.00332309   21   8.01180e+08   L17-0R(3)   5
296 2   17   0   2   3   929.690   0.00249903   21   7.96930e+08   L17-0P(3)   6
297 2   17   0   5   4   931.540   0.00254409   9   8.19640e+08    L17-0R(4)   7
298 2   17   0   3   4   933.170   0.00274158   9   8.01050e+08    L17-0P(4)   8
299 2   17   0   6   5   935.320   0.000464999   33   9.50240e+08  L17-0R(5)   9
300 2   17   0   4   5   937.440   0.00312604   33   8.01180e+08   L17-0P(5)   10
301 2   17   0   7   6   940.490   0.00994556   13   9.01180e+08   L17-0R(6)   11
302 2   17   0   5   6   942.470   0.00405645   13   8.19640e+08   L17-0P(6)   12
303 2   17   0   8   7   945.860   0.00744847   45   8.10410e+08   L17-0R(7)   13
304 2   17   0   6   7   948.160   0.00770937   45   9.50240e+08   L17-0P(7)   14
305 2   17   0   9   8   952.057   0.0066       17   9.0e+08       L17-0R(8)   15
306 2   17   0   7   8   955.190   0.1e-07       17   9.0e+08      L17-0P(8)   16
