Proba d'emission B-X
  vu      ju      vl      jl     Proba d'emission(s-1)
 37       0       2       1      0.184729D+08
 38       0       2       1      0.156668D+08
 39       0       2       1      0.124069D+08
 36       0       3       1      0.160676D+08
 37       0       3       1      0.152331D+08
 38       0       3       1      0.137551D+08
 39       0       3       1      0.114553D+08
 36       0       4       1      0.190818D+07
 37       0       4       1      0.246108D+07
 38       0       4       1      0.278010D+07
 39       0       4       1      0.272401D+07
 36       0       5       1      0.366705D+07
 37       0       5       1      0.237012D+07
 38       0       5       1      0.143857D+07
 39       0       5       1      0.806159D+06
 36       0       6       1      0.143027D+08
 37       0       6       1      0.122291D+08
 38       0       6       1      0.999051D+07
 39       0       6       1      0.759378D+07
 36       0       7       1      0.924064D+07
 37       0       7       1      0.949749D+07
 38       0       7       1      0.905136D+07
 39       0       7       1      0.779984D+07
 36       0       8       1      0.128433D+06
 37       0       8       1      0.523183D+06
 38       0       8       1      0.962217D+06
 39       0       8       1      0.122520D+07
 36       0       9       1      0.551663D+07
 37       0       9       1      0.362226D+07
 38       0       9       1      0.220686D+07
 39       0       9       1      0.122814D+07
 36       0      10       1      0.118018D+08
 37       0      10       1      0.102326D+08
 38       0      10       1      0.835049D+07
 39       0      10       1      0.627675D+07
 36       0      11       1      0.668465D+07
 37       0      11       1      0.724479D+07
 38       0      11       1      0.709828D+07
 39       0      11       1      0.618771D+07
 36       0      12       1      0.465996D+06
 37       0      12       1      0.111475D+07
 38       0      12       1      0.169251D+07
 39       0      12       1      0.194448D+07
 36       0      13       1      0.120291D+07
 37       0      13       1      0.413114D+06
 38       0      13       1      0.686138D+05
 39       0      13       1      0.441207D+03
 36       0      14       1      0.425280D+07
 37       0      14       1      0.284753D+07
 38       0      14       1      0.174325D+07
 39       0      14       1      0.962283D+06
 36       0      15       1      0.469479D+07
 37       0      15       1      0.374108D+07
 38       0      15       1      0.277004D+07
 39       0      15       1      0.187853D+07
 36       0      16       1      0.277549D+07
 37       0      16       1      0.242555D+07
 38       0      16       1      0.194972D+07
 39       0      16       1      0.143251D+07
 36       0      17       1      0.210541D+08
 37       0      17       1      0.172035D+08
 38       0      17       1      0.292539D+08
 39       0      17       1      0.312549D+08
 40       0       0       1      0.696888D+06
 41       0       0       1      0.302764D+06
 42       0       0       1      0.923235D+05
 43       0       0       1      0.397065D+05
 40       0       1       1      0.390020D+07
 41       0       1       1      0.170932D+07
 42       0       1       1      0.522821D+06
 43       0       1       1      0.225096D+06
 40       0       2       1      0.848065D+07
 41       0       2       1      0.376377D+07
 42       0       2       1      0.115626D+07
 43       0       2       1      0.498585D+06
 40       0       3       1      0.812464D+07
 41       0       3       1      0.368357D+07
 42       0       3       1      0.114002D+07
 43       0       3       1      0.492861D+06
 40       0       4       1      0.215910D+07
 41       0       4       1      0.104097D+07
 42       0       4       1      0.328956D+06
 43       0       4       1      0.143255D+06
 40       0       5       1      0.400327D+06
 41       0       5       1      0.142456D+06
 42       0       5       1      0.402218D+05
 43       0       5       1      0.168187D+05
 40       0       6       1      0.500007D+07
 41       0       6       1      0.216464D+07
 42       0       6       1      0.658906D+06
 43       0       6       1      0.283187D+06
 40       0       7       1      0.564194D+07
 41       0       7       1      0.258165D+07
 42       0       7       1      0.801243D+06
 43       0       7       1      0.346726D+06
 40       0       8       1      0.112551D+07
 41       0       8       1      0.583402D+06
 42       0       8       1      0.188688D+06
 43       0       8       1      0.828252D+05
 40       0       9       1      0.601122D+06
 41       0       9       1      0.210908D+06
 42       0       9       1      0.591766D+05
 43       0       9       1      0.246852D+05
 40       0      10       1      0.407041D+07
 41       0      10       1      0.174118D+07
 42       0      10       1      0.527495D+06
 43       0      10       1      0.226313D+06
 40       0      11       1      0.448604D+07
 41       0      11       1      0.205037D+07
 42       0      11       1      0.635822D+06
 43       0      11       1      0.275047D+06
 40       0      12       1      0.167933D+07
 41       0      12       1      0.842588D+06
 42       0      12       1      0.269562D+06
 43       0      12       1      0.117878D+06
 40       0      13       1      0.322162D+05
 41       0      13       1      0.338269D+05
 42       0      13       1      0.131019D+05
 43       0      13       1      0.609431D+04
 40       0      14       1      0.462905D+06
 41       0      14       1      0.159646D+06
 42       0      14       1      0.444496D+05
 43       0      14       1      0.184870D+05
 40       0      15       1      0.110789D+07
 41       0      15       1      0.444235D+06
 42       0      15       1      0.131338D+06
 43       0      15       1      0.558525D+05
 40       0      16       1      0.903424D+06
 41       0      16       1      0.378690D+06
 42       0      16       1      0.113817D+06
 43       0      16       1      0.486895D+05
 40       0      17       1      0.565863D+08
 41       0      17       1      0.940981D+08
 42       0      17       1      0.102063D+09
 43       0      17       1      0.296166D+08
  0       1       0       0      0.133184D+07
  1       1       0       0      0.543312D+07
  2       1       0       0      0.126180D+08
  3       1       0       0      0.219343D+08
  0       1       1       0      0.106672D+08
  1       1       1       0      0.321159D+08
  2       1       1       0      0.541462D+08
  3       1       1       0      0.667023D+08
  0       1       2       0      0.390939D+08
  1       1       2       0      0.780751D+08
  2       1       2       0      0.809328D+08
  3       1       2       0      0.535252D+08
  0       1       3       0      0.873032D+08
  1       1       3       0      0.949790D+08
  2       1       3       0      0.383696D+08
  3       1       3       0      0.192621D+07
  0       1       4       0      0.132439D+09
  1       1       4       0      0.500760D+08
  2       1       4       0      0.623952D+05
  3       1       4       0      0.289559D+08
